feature,importance,rank
data__kurtosis,4.39244918328426,1
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",4.2732262350766845,2
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",4.190704945122593,3
data__friedrich_coefficients__coeff_2__m_3__r_30,3.6205525403714933,4
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",3.5690590400089954,5
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,3.4996716719619423,6
"data__fft_aggregated__aggtype_""kurtosis""",3.0118714830633158,7
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",2.6662975753802005,8
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",2.4365333398580575,9
data__ratio_beyond_r_sigma__r_1,2.3289851406691615,10
"data__fft_coefficient__attr_""abs""__coeff_1",2.3032797009055184,11
data__index_mass_quantile__q_0.3,2.272010105108871,12
data__binned_entropy__max_bins_10,2.209747508863179,13
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,2.0147412007893872,14
data__benford_correlation,1.9833980548262131,15
data__autocorrelation__lag_8,1.9449824815872265,16
data__index_mass_quantile__q_0.4,1.902388628969413,17
data__partial_autocorrelation__lag_1,1.777074035310719,18
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",1.7231279267271713,19
data__index_mass_quantile__q_0.1,1.67027882378479,20
data__quantile__q_0.1,1.6051576219772745,21
data__autocorrelation__lag_4,1.5483020130755683,22
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",1.5009453297171513,23
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",1.461845784170778,24
data__energy_ratio_by_chunks__num_segments_10__segment_focus_9,1.459362660602538,25
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",1.3433113814410154,26
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,1.3288832388228322,27
data__autocorrelation__lag_5,1.279894420517106,28
data__autocorrelation__lag_2,1.2617102608459172,29
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",1.228583843055041,30
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",1.0863974196419872,31
data__autocorrelation__lag_1,1.066675187850116,32
data__autocorrelation__lag_7,1.03069832286597,33
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",1.0298148959635824,34
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",1.0193095799911158,35
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.9816331045663259,36
data__quantile__q_0.3,0.9768184262985049,37
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.9475847496630128,38
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.9472909899049982,39
data__index_mass_quantile__q_0.7,0.9173484724411952,40
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.8288870989625371,41
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",0.7576771262666772,42
data__quantile__q_0.7,0.7312803230123229,43
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.7312031963812727,44
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.7087761040103072,45
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.6858242232095553,46
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.6598747293728859,47
data__cid_ce__normalize_False,0.6437017316237833,48
data__quantile__q_0.6,0.6370979895534262,49
data__index_mass_quantile__q_0.8,0.6355275391739381,50
