feature,importance,rank
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.10309185,1
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.08637359,2
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.07652356,3
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.07087123,4
data__autocorrelation__lag_2,0.06657287,5
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.059175383,6
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.04199748,7
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.033574734,8
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.030862901,9
data__ratio_beyond_r_sigma__r_1,0.027374553,10
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.022716083,11
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.018645993,12
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.016025225,13
data__benford_correlation,0.014951672,14
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.014302915,15
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.012813924,16
data__autocorrelation__lag_1,0.012720733,17
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.012686803,18
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.011884811,19
data__kurtosis,0.011189219,20
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.01108927,21
data__minimum,0.011002854,22
data__quantile__q_0.6,0.01074449,23
"data__fft_coefficient__attr_""abs""__coeff_1",0.008534515,24
data__autocorrelation__lag_4,0.0075990846,25
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.007352972,26
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.0071882308,27
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0069917575,28
data__cid_ce__normalize_False,0.0069390065,29
"data__fft_aggregated__aggtype_""kurtosis""",0.00671517,30
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.0064905714,31
data__index_mass_quantile__q_0.2,0.0063381754,32
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.0061721588,33
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.00565071,34
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",0.0055744722,35
data__mean_abs_change,0.0055585466,36
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.005471935,37
data__index_mass_quantile__q_0.3,0.004683172,38
data__quantile__q_0.4,0.0045316285,39
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.004261601,40
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.004223799,41
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0041374173,42
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0041112304,43
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.004007213,44
data__autocorrelation__lag_8,0.0039586173,45
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.0038806775,46
data__quantile__q_0.8,0.0037338787,47
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0035683936,48
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.0035152093,49
"data__linear_trend__attr_""intercept""",0.0034365244,50
